1,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2,0,-5.25E-02,0.00E+00,2.23E-06,0.00E+00
2,1,-1.64E-06,-1.40E-07,1.09E-06,1.10E-06
2,2,8.24E-02,-2.81E-02,2.18E-06,3.45E-06
3,0,-1.41E-03,0.00E+00,5.41E-06,0.00E+00
3,1,4.06E-03,3.37E-03,2.06E-06,2.00E-06
3,2,1.78E-03,-7.04E-04,3.11E-06,3.10E-06
3,3,-1.04E-02,-1.21E-02,4.65E-06,4.63E-06
4,0,1.29E-02,0.00E+00,1.17E-05,0.00E+00
4,1,-1.00E-04,1.37E-04,4.31E-06,4.16E-06
4,2,-1.75E-02,4.63E-03,6.19E-06,6.49E-06
4,3,-3.00E-04,-1.19E-04,8.52E-06,8.52E-06
4,4,1.75E-02,-9.11E-03,1.09E-05,1.09E-05
5,0,6.59E-04,0.00E+00,2.43E-05,0.00E+00
5,1,-2.77E-03,-1.22E-03,1.18E-05,1.13E-05
5,2,-7.83E-04,3.81E-04,9.17E-06,8.94E-06
5,3,4.58E-03,3.54E-03,1.59E-05,1.60E-05
5,4,4.97E-04,-6.98E-04,2.18E-05,2.17E-05
5,5,-1.02E-02,-5.84E-03,2.49E-05,2.48E-05
6,0,-4.98E-03,0.00E+00,4.49E-05,0.00E+00
6,1,-2.44E-05,-1.24E-04,2.28E-05,2.27E-05
6,2,6.54E-03,-1.19E-03,1.94E-05,1.99E-05
6,3,2.88E-04,7.54E-05,2.69E-05,2.72E-05
6,4,-5.65E-03,1.77E-03,4.21E-05,4.17E-05
6,5,-4.88E-04,4.79E-05,5.26E-05,5.26E-05
6,6,5.09E-03,-1.60E-03,5.55E-05,5.56E-05
7,0,-4.56E-04,0.00E+00,9.27E-05,0.00E+00
7,1,1.72E-03,7.04E-04,5.90E-05,5.70E-05
7,2,3.84E-04,-1.98E-04,2.42E-05,2.67E-05
7,3,-2.47E-03,-1.44E-03,5.39E-05,5.31E-05
7,4,-2.43E-04,3.27E-04,7.43E-05,7.48E-05
7,5,3.77E-03,1.90E-03,1.01E-04,1.01E-04
7,6,3.25E-05,-4.96E-04,1.22E-04,1.22E-04
7,7,-6.77E-03,-2.20E-03,1.20E-04,1.20E-04
8,0,2.63E-03,0.00E+00,1.96E-04,0.00E+00
8,1,-5.00E-05,-1.81E-05,9.09E-05,8.56E-05
8,2,-3.14E-03,2.80E-05,1.03E-04,9.94E-05
8,3,-3.09E-04,-3.19E-05,8.37E-05,8.15E-05
8,4,2.77E-03,-4.81E-04,1.48E-04,1.49E-04
8,5,4.83E-04,-1.02E-04,1.83E-04,1.84E-04
8,6,-2.54E-03,2.39E-05,2.33E-04,2.34E-04
8,7,-1.90E-04,-7.00E-05,2.70E-04,2.71E-04
8,8,2.27E-03,1.37E-03,2.51E-04,2.51E-04
9,0,1.82E-04,0.00E+00,3.80E-04,0.00E+00
9,1,-7.66E-04,-1.26E-04,2.25E-04,1.98E-04
9,2,-3.72E-04,-1.89E-04,1.52E-04,1.38E-04
9,3,1.42E-03,9.99E-04,1.46E-04,1.46E-04
9,4,-4.84E-04,-2.75E-04,2.53E-04,2.57E-04
9,5,-1.72E-03,-9.80E-04,3.63E-04,3.63E-04
9,6,-2.36E-04,8.49E-05,4.24E-04,4.22E-04
9,7,3.06E-03,8.68E-04,5.21E-04,5.21E-04
9,8,4.40E-04,-7.13E-05,5.78E-04,5.76E-04
9,9,-3.27E-03,-7.23E-04,4.89E-04,4.89E-04
10,0,-3.46E-04,0.00E+00,7.45E-04,0.00E+00
10,1,-5.92E-04,1.12E-03,2.92E-04,3.03E-04
10,2,1.45E-03,-7.68E-04,2.55E-04,2.53E-04
10,3,4.20E-04,4.50E-04,2.31E-04,2.39E-04
10,4,-3.61E-05,-7.05E-04,4.60E-04,4.64E-04
10,5,-6.31E-04,-9.25E-04,6.27E-04,6.25E-04
10,6,1.53E-03,9.30E-04,8.21E-04,8.19E-04
10,7,7.93E-04,-8.88E-04,8.98E-04,8.99E-04
10,8,-9.03E-04,-4.36E-05,1.11E-03,1.11E-03
10,9,-1.58E-03,5.25E-05,1.07E-03,1.07E-03
10,10,1.19E-03,1.35E-03,7.53E-04,7.51E-04
11,0,1.54E-03,0.00E+00,1.28E-03,0.00E+00
11,1,6.32E-04,-1.39E-03,7.14E-04,7.04E-04
11,2,6.52E-05,-1.34E-03,3.61E-04,3.76E-04
11,3,3.91E-04,-2.47E-04,5.07E-04,5.02E-04
11,4,-1.32E-03,-1.15E-03,7.26E-04,7.32E-04
11,5,1.90E-03,2.10E-03,1.14E-03,1.13E-03
11,6,5.57E-04,-2.78E-04,1.35E-03,1.35E-03
11,7,1.25E-04,-5.93E-04,1.60E-03,1.60E-03
11,8,7.88E-04,-5.86E-04,1.71E-03,1.71E-03
11,9,2.83E-03,1.47E-03,2.03E-03,2.03E-03
